"lat","lon","n2o","clay","silt","sand","bd","soc","noc","ph","croptype","Pwin_before","Pspr_before","Psum_before","Paut_before","Pwin","Pspr","Psum","Paut","Twin_before","Tspr_before","Tsum_before","Taut_before","Twin","Tspr","Tsum","Taut","ferttype","fertN","NO3","NH4"
48.5,11.47,4.0967061158936,19,60,21,1.33,1.5,0.14,6.3,2,254.699997,303.899994,279.200012,155.399994,222.699997,261,364.899994,316.100006,-0.74,7.553333,17.84,10.123333,-0.37,8.5,19.456667,8.933333,222,190,47.5,47.5
48.5,11.47,3.06006535877912,11,29,60,1.45,1,0.1,6.2,1,254.699997,303.899994,279.200012,155.399994,222.699997,261,364.899994,316.100006,-0.74,7.553333,17.84,10.123333,-0.37,8.5,19.456667,8.933333,19,83,0,0
48.5,11.47,3.59638707594163,34,47,19,1.18,1.88,0.19,6.1,1,254.699997,303.899994,279.200012,155.399994,222.699997,261,364.899994,316.100006,-0.74,7.553333,17.84,10.123333,-0.37,8.5,19.456667,8.933333,19,83,0,0
55.799999,-3.22,0.547722557505166,25,10,65,9999,3.294118,9999,6.7,2,285.899994,252.699997,156.899994,139.600006,225.699997,206.5,125.599998,221.100006,1.546667,7.44,13.326667,6.456667,2.616667,6.346667,15.093333,8.55,26,180,90,90
55.799999,-3.22,0.894427190999916,25,10,65,9999,3.176471,9999,6,2,285.899994,252.699997,156.899994,139.600006,225.699997,206.5,125.599998,221.100006,1.546667,7.44,13.326667,6.456667,2.616667,6.346667,15.093333,8.55,26,120,60,60
55.799999,-3.22,1.7606816861659,20,40,40,9999,3.176471,9999,7,1,210.300003,167.399994,86.800003,234.600006,217.899994,219.899994,183.699997,224.300003,1.44,6.403333,17.123333,9.866667,1.703333,5.73,14.886667,8.276667,26,170,85,85
55.799999,-3.22,1.09544511501033,25,10,65,9999,2.7,9999,5.5,1,285.899994,252.699997,156.899994,139.600006,225.699997,206.5,125.599998,221.100006,1.546667,7.44,13.326667,6.456667,2.616667,6.346667,15.093333,8.55,66,140,0,77
55.799999,-3.22,1.78885438199983,20,40,40,9999,2.4,9999,6.4,1,210.300003,167.399994,86.800003,234.600006,217.899994,219.899994,183.699997,224.300003,1.44,6.403333,17.123333,9.866667,1.703333,5.73,14.886667,8.276667,10,170,0,0
51,9.5,1.98620240660412,16,51,33,1.15,1.08,0.12,6.6,0,316.299988,273.100006,193.899994,207.600006,124.5,206.899994,239.399994,192.899994,1.49,7.936667,18.896667,9.52,-4.04,6.9,17.549999,9.103333,99,0,0,0
51,9.5,2.26340451532641,21.200001,44.200001,34.700001,1.27,1.08,0.12,6.6,3,316.299988,273.100006,193.899994,207.600006,124.5,206.899994,239.399994,192.899994,1.49,7.936667,18.896667,9.52,-4.04,6.9,17.549999,9.103333,9,205,102.5,102.5
55.619999,9.2,0.705691150575094,5.9,16.799999,75.400002,9999,1.2,0.09,5.2,2,330.600006,229.699997,138.800003,280.700012,120.599998,258,150.699997,177.5,3.15,7.196667,17.950001,9.636667,-2.353333,6.43,17.383333,10.096667,8,120,60,60
55.619999,9.2,1.04450945424156,5.9,16.799999,75.400002,9999,1.2,0.09,5.2,5,330.600006,229.699997,138.800003,280.700012,120.599998,258,150.699997,177.5,3.15,7.196667,17.950001,9.636667,-2.353333,6.43,17.383333,10.096667,26,75,37.5,37.5
55.619999,9.2,0.374165738677394,5.9,16.799999,75.400002,9999,1.2,0.09,5.2,5,330.600006,229.699997,138.800003,280.700012,120.599998,258,150.699997,177.5,3.15,7.196667,17.950001,9.636667,-2.353333,6.43,17.383333,10.096667,99,0,0,0
52.23,10.45,1.09544511501033,20,69,11,9999,9999,9999,9999,2,216.899994,247.100006,176.699997,182.600006,115.199997,187,182,165.5,1.95,8.216667,19.333332,9.646667,-4.976667,6.97,18.366667,9.583333,222,85,21.25,21.25
52.23,10.45,1.18321595661992,20,69,11,9999,9999,9999,9999,2,229.800003,176.600006,168,147.800003,216.899994,247.100006,176.699997,182.600006,0.353333,9.516667,16.286667,6.896667,1.95,8.216667,19.333332,9.646667,222,73,18.25,18.25
